Region,Field Id
CALICUT ,5407
KANNUR,3667
KANNUR,5409
MANJERI,5414
TIRUR,5390
PALAKKAD ,4907
THRISSUR,5063
THRISSUR ,4837
PALAKKAD ,4508
KOTTAYAM ,5410
ERNAKULAM,5405
KOLLAM,3760
TRIVANDRUM,3245
PATHANAMTHITTA ,4542
Kollam,5392
TRIVANDRUM,4942
ELURU,3368
VIJAYAWADA,3347
BHIMAVARAM ,4778
RAJAHMUNDRY ,4789
RAJAMUNDRY ,1767
VISAKHAPATNAM,2714
VISAKHAPATNAM ,4239
KAKINADA ,3373
GAJUWAKA ,5110
SRIKAKULAM ,5284
VIZIANAGARAM ,4801
ANANTAPUR ,3973
KADAPA ,3138
ANANTAPUR ,4792
PRODDATUR ,3964
TIRUPATHI ,4787
TIRUPATHI ,4249
NANDYAL ,3412
KURNOOL,3034
ONGOLE ,4804
NELLORE ,3297
GUNTUR,5461
GUNTUR,2747
MAHABUBNAGAR ,3489
OLDCITY 2,4225
OLD CITY 1,5269
DILSHUKNAGAR ,4797
MEHDIPATNAM ,1778
MIYAPUR,3382
JUBLI HILLS ,4815
BOWENPALLY,3116
KPHB,3488
KHAMMAM,2587
ECIL,1730
CENTRAL CITY,4819
SECUNDERABAD,3387
AMEERPET,5270
NALGONDA,4291
JAGITYAL,4450
NIZAMABAD,3137
KARIMNAGAR,3096
MANCHERIAL,4806
WARANGAL,4909
CHENNAI,5155
CHENNAI,4380
CHENNAI,3901
CHENNAI,1662
MAYILADUTHURAI ,4978
villupuram,4716
CUDDALORE ,5305
PONDICHERRY ,4358
CHIDAMBARAM,5304
CHENNAI,3222
KANCHIPURAM ,5303
CHENNAI,4482
CHENNAI,4885
VELLORE,4967
CHENNAI,2924
CHENNAI,5352
CHENNAI,4890
CHENNAI,4003
VELACHERY,4430
Dharmapuri,3298
NAMAKKAL,3325
SALEM,5312
HOSUR,5497
ATTUR,4433
TIRUPUR,4292
POLLACHI,4884
COIMBATORE,4036
COIMBATORE,4672
COIMBATORE,4374
MADURAI - 2,4015
THENI,5340
TIRUNELVELI ,4855
NAGERCOIL ,2840
MADURAI ,4853
KARUR,4845
ERODE,4302
Trichy,5299
KUMBAKONAM ,5301
THANJAVUR ,3980
BANGALORE ,5233
BANGALORE ,350
BANGLORE ,5039
CHIKKABALLAPUR,1727
-,2170
BANGALORE ,4372
MARATAHALLI,5382
K R PURA,2852
INDIRA NAGAR,3859
R T NAGAR,2349
SHIVAJI NAGAR,4731
KORAMANGALA,4958
KOLAR,3781
BANGALORE ,5278
BANGALORE,2941
BANGALORE ,3835
BANGALORE ,4957
BANGALORE ,3654
TUMKUR,2710
TUMKUR,4299
TUMKUR,299
SHIMOGA,3697
SHIMOGA,1658
TUMKUR,5029
CHICKMAGALUR,5197
HASSAN,2705
HASSAN,3450
MANDYA,4683
MYSURU,3075
MYSURU,4996
MYSURU,3247
GANGAVATHI ,4322
GULBARGA ,4346
KOPPAAL,4396
RAICHUR ,3915
BELGAUM,4924
JAMKHANDI ,2704
Bagalkot ,3474
HUBLI HQ ,5012
Bijapur ,2969
HUBLI HQ,5167
CHITRADURGA,4939
BALLARI ,4917
RANEBENNUR ,4916
DAVANAGERE,2107
DAVANAGERE,5141
SIRSI,3555
KASARAGOD,3579
UDUPI ,3045
UDUPI 2,5446
MANGALORE,5494
KOLKATA,2736
KOLKATA,4113
KOLKATA,4104
KOLKATA,5320
DIAMOND HARBOUR,4617
GHATAL,3786
TAMLUK,4598
CONTAI,4101
MIDNAPORE,5610
KHARAGPUR,4153
BONGAON,2863
KRISHNANAGAR,4271
RANAGHAT,4616
BASIRHAT,4898
BARRACKPORE,5325
ALIPURDUAR ,3496
SILIGURI- 2,3497
SILIGURI-1,4756
COOCH BEHAR,4757
JALPAIGURI,3872
HOWRAH 1,4109
HOWRAH,4055
HOOGHLY 1,3151
HOOGHLY 2 ,1400
ARAMBAGH,5322
DURGAPUR,4085
ASANSOL,3146
BANKURA ,5323
PURULIA,3314
BURDWAN,2754
MALDA,5326
RAIGANJ,3524
BERHAMPORE,2928
RAMPURHAT,4615
BOLPUR,5523
NORTH KOLKATA,3495
NORTH KOLKATA,4108
NORTH KOLKATA,4068
NORTH KOLKATA,2752
BARASAT,5321
NASHIK,2403
Aurangabad ,5003
JALNA,3831
DHULE,1485
Malegaon ,4520
Jalgaon,3617
NASHIK ,4492
Aurangabad ,2405
Sangamner ,5222
Pimpri (Pune),5258
Pimpri,3626
AHMEDNAGAR,4427
-,2401
PUNE,4994
Pune ,3220
PUNE,4513
Pune,5204
SATARA,2525
BARAMATI ,4984
pune,5203
SANGAMNER ,3686
AHMEDNAGAR,2849
SATARA,1000
BARAMATI,3647
PUNE,3838
PUNE,5128
PUNE ,5011
PUNE,4362
PUNE,3787
PIMPRI,5237
PIMPRI,5016
PIMPRI,1854
AURAGABAD,3791
JALGAON ,3650
NASHIK,2465
MALEGAON ,3788
NASHIK,3789
DHULE,3649
JALNA,4502
IMPHAL-1,2440
IMPHAL 2,3961
IMPHAL-3,2439
AGARTALA 01,3929
AGARTALA 03,4637
NAGAON 1,2430
NAGAON-2 ,4507
GHY-3,3163
GUWAHATI -4,4505
AGARTALA -02,2340
SHILLONG ,4270
AIZAWL ,2886
SILCHAR-2,3920
SILCHAR-1,5544
BONGAIGAON,2427
GUWAHATI-2,2419
GOWALPARA,3996
DHUBRI,2415
BARPETA,4646
SIVASAGAR,3866
DIBRUGARH,3310
TEZPUR ,5123
JORHAT ,4588
LAKHIMPUR,3926
GUWAHATI-3,2918
GOALPARA,4642
BONGAIGAON,3944
BARPETA ,2422
DHUBRI,2413
GUWAHATI-1,3936
IMPHAL-01,2795
IMPHAL-02,3933
IMPHAL-03,2437
SILCHAR-01,3940
SILCHAR-02,2334
TEZPUR,5253
NORTH LAKHIMPUR,3985
NAGAON-1,2434
NAGAON-2,5164
GUWAHATI-4,2451
JORHAT,5154
GUWAHATI-4,2424
AGARTALA-2 ,2780
DIBRUGARH,4739
SHILLONG,3994
AGARTALA- 1,3918
AGARTALA- 3,2341
DOMBIVALI ,3378
THANE ,5041
MULUND,3082
GHATKOPAR,3712
SION,4222
KALYAN,2839
VASHI,3011
ULHASNAGAR,4205
BHIWANDI,3083
PANVEL,5373
BORIVALI,5377
VIRAR,2363
DADAR,4220
SOUTH MUMBAI,3695
BANDRA,5378
ANDHERI ,2381
CUTTACK,4666
CUTTACK,4210
BARGARH,4230
BOLANGIR,5488
BHUBANESWAR ,3211
BHUBANESWAR ,4304
SAMBALPUR,5439
BERHAMPUR,5374
DHANBAD,4046
DHANBAD,4313
RANCHI,3501
RANCHI,5561
TATA,5531
LUDHIANA,2133
SRINAGAR,5556
AMRITSAR,3414
JALANDHAR,4562